sentence|difficulty
Wie geht es dir?|1
Ich heiße Daniel.|1
Können Sie mir bitte helfen?|1
Sprichst du Englisch?|1
Wo ist der Bahnhof?|1
Entschuldigung, das habe ich nicht verstanden.|2
Sprich bitte etwas langsamer.|2
Ich habe eine Allergie.|2
Kann ich mit Karte zahlen?|2
Was können Sie mir empfehlen?|2
Wo finde ich einen Supermarkt?|2
Rufen Sie bitte einen Krankenwagen.|3
Gibt es das Kleid auch in Größe 38?|3
Ich würde gerne einen Tisch für zwei Personen reservieren.|4
Brautkleid bleibt Brautkleid und Blaukraut bleibt Blaukraut.|5
Wussten sie schon, dass wenn in Reden von Walzwerken und Waldzwergen die Rede ist, es zu Irritationen beim Hörer führt, da es phonetisch nicht ganz leicht ist zu unterscheiden, ob es sich um Walzwerke oder Waldzwerge handelt. Gott sei Dank, ist es aber relativ selten, das ein Waldzwerg ein Walzwerk besucht oder Walzwerke in der Umgebung der Waldzwerge erbaut werden. wenn allerdings Waldzwerg ein Walzwerk baut, handelt es sich demzufolge um ein Waldzwergwalzwerk. Wenn dieser dann auch noch darin arbeitet ist es dann offensichtlich ein Walzwerkwaldzwerg.|5
